Product_ID,Product_Name,Category,Subcategory,Price,Units_Sold,Revenue,Cost,Profit,Date,Store/Channel,Customer_ID
SKU18533,Adidas Hoodie,Apparel,Sportswear,760.93,9,6848.37,5485.49,1362.88,12/13/2024,Mobile App,1019
SKU35986,Adidas Hoodie,Apparel,Sportswear,1211.39,7,8479.73,5316.68,3163.05,1/1/2025,Online,1020
SKU12195,Maybelline Lipstick,Beauty,Makeup,562.81,65,36582.65,27604.89,8977.76,2/16/2025,Mobile App,1021
SKU11655,Panasonic Microwave,Electronics,Appliances,12.86,41,527.26,347.86,179.4,1/31/2025,Online,1022
SKU92211,Colgate Toothpaste,Beauty,Oral Care,384.88,25,9622,5500.32,4121.68,3/29/2025,Mobile App,1023
SKU43705,Apple iPhone 14,Electronics,Smartphones,1206.19,43,51866.17,46369.59,5496.58,4/11/2025,Online,1024
SKU20732,Panasonic Microwave,Electronics,Appliances,504.69,32,16150.08,8459.77,7690.31,8/13/2024,Mobile App,1025
SKU90695,Dove Body Wash,Beauty,Bath & Body,210.86,39,8223.54,5572.45,2651.09,5/18/2024,Retail Store,1026
SKU34951,Adidas Hoodie,Apparel,Sportswear,193.01,20,3860.2,2218.56,1641.64,1/5/2025,Marketplace,1027
SKU57417,Apple iPhone 14,Electronics,Smartphones,750.7,64,48044.8,37478.3,10566.5,5/21/2024,Online,1028
SKU41516,Samsung Smart TV,Electronics,Television,6.6,90,594,248.24,345.76,2/21/2025,Online,1029
SKU45173,Colgate Toothpaste,Beauty,Oral Care,494.3,7,3460.1,1620.27,1839.83,4/30/2024,Marketplace,1030
SKU87503,Colgate Toothpaste,Beauty,Oral Care,170.74,30,5122.2,2071.59,3050.61,5/12/2024,Online,1031
SKU32401,Nike Running Shoes,Apparel,Sportswear,589.97,1,589.97,471.79,118.18,1/28/2025,Mobile App,1032
SKU87714,Dove Body Wash,Beauty,Bath & Body,1319.49,69,91044.81,78703.46,12341.35,5/8/2024,Online,1033
SKU10465,Colgate Toothpaste,Beauty,Oral Care,538.05,47,25288.35,18034.47,7253.88,3/7/2025,Retail Store,1034
SKU98625,Dove Body Wash,Beauty,Bath & Body,547.49,27,14782.23,11721.74,3060.49,4/9/2025,Mobile App,1035
SKU12952,Panasonic Microwave,Electronics,Appliances,643.67,31,19953.77,14396.79,5556.98,8/15/2024,Mobile App,1036
SKU70081,Maybelline Lipstick,Beauty,Makeup,82.52,33,2723.16,1367.74,1355.42,2/9/2025,Online,1037
SKU99766,Samsung Smart TV,Electronics,Television,1471.01,90,132390.9,55107.62,77283.28,7/21/2024,Online,1038
SKU76875,Apple iPhone 14,Electronics,Smartphones,742.73,63,46791.99,36422.24,10369.75,11/1/2024,Retail Store,1039
SKU42811,Panasonic Microwave,Electronics,Appliances,816.24,27,22038.48,14703.06,7335.42,10/7/2024,Marketplace,1040
SKU66880,Nike Running Shoes,Apparel,Sportswear,691.08,56,38700.48,28886.22,9814.26,4/23/2025,Retail Store,1041
SKU79943,Apple iPhone 14,Electronics,Smartphones,854.59,90,76913.1,57674.43,19238.67,10/16/2024,Mobile App,1042
SKU69869,Apple iPhone 14,Electronics,Smartphones,643.43,98,63056.14,39912.95,23143.19,7/9/2024,Mobile App,1043
SKU69663,Maybelline Lipstick,Beauty,Makeup,931.18,47,43765.46,32144.96,11620.5,3/18/2025,Mobile App,1044
SKU23422,Nike Running Shoes,Apparel,Sportswear,764.08,35,26742.8,14902.72,11840.08,9/10/2024,Retail Store,1045
SKU22499,Dove Body Wash,Beauty,Bath & Body,315.22,25,7880.5,4536.72,3343.78,7/16/2024,Mobile App,1046
SKU10886,Adidas Hoodie,Apparel,Sportswear,384.81,40,15392.4,9102.92,6289.48,10/21/2024,Retail Store,1047
SKU85025,Nike Running Shoes,Apparel,Sportswear,1034.66,43,44490.38,34794.89,9695.49,5/17/2024,Mobile App,1048
SKU92159,Colgate Toothpaste,Beauty,Oral Care,350.49,85,29791.65,17416.97,12374.68,8/27/2024,Marketplace,1049
SKU70975,Panasonic Microwave,Electronics,Appliances,94.72,32,3031.04,1948.83,1082.21,12/7/2024,Online,1050
SKU46102,Dove Body Wash,Beauty,Bath & Body,534.89,78,41721.42,24069.48,17651.94,12/9/2024,Marketplace,1051
SKU31813,Nike Running Shoes,Apparel,Sportswear,866.54,95,82321.3,38119.68,44201.62,8/17/2024,Marketplace,1052
SKU71314,HP Laptop,Electronics,Computers,1215.97,55,66878.35,41358.68,25519.67,7/2/2024,Online,1053
SKU18023,Apple iPhone 14,Electronics,Smartphones,35.83,64,2293.12,1876.99,416.13,11/23/2024,Marketplace,1054
SKU84873,Panasonic Microwave,Electronics,Appliances,398.08,64,25477.12,19279.41,6197.71,3/5/2025,Retail Store,1055
SKU20103,Colgate Toothpaste,Beauty,Oral Care,1493.78,21,31369.38,22794.6,8574.78,7/8/2024,Online,1056
SKU70790,Adidas Hoodie,Apparel,Sportswear,1425.81,8,11406.48,7911.88,3494.6,6/13/2024,Retail Store,1057
SKU69448,Colgate Toothpaste,Beauty,Oral Care,527.61,2,1055.22,850.79,204.43,7/14/2024,Mobile App,1058
SKU63871,Samsung Smart TV,Electronics,Television,870.15,13,11311.95,9987.97,1323.98,5/22/2024,Online,1059
SKU98040,Colgate Toothpaste,Beauty,Oral Care,1219.88,31,37816.28,24211.9,13604.38,9/17/2024,Retail Store,1060
SKU26007,Dove Body Wash,Beauty,Bath & Body,870.46,41,35688.86,26183.93,9504.93,3/9/2025,Online,1061
SKU31778,Colgate Toothpaste,Beauty,Oral Care,1278.15,78,99695.7,64953.75,34741.95,7/5/2024,Mobile App,1062
SKU37365,Apple iPhone 14,Electronics,Smartphones,453.69,87,39471.03,29401.89,10069.14,5/29/2024,Mobile App,1063
SKU43858,Apple iPhone 14,Electronics,Smartphones,654.5,15,9817.5,5985.53,3831.97,5/23/2024,Marketplace,1064
SKU59283,Nike Running Shoes,Apparel,Sportswear,449.01,8,3592.08,2850.34,741.74,11/4/2024,Marketplace,1065
SKU33329,Maybelline Lipstick,Beauty,Makeup,1422.69,62,88206.78,74805.04,13401.74,10/2/2024,Online,1066
SKU34254,HP Laptop,Electronics,Computers,1444.25,91,131426.75,82449.26,48977.49,11/2/2024,Mobile App,1067
SKU14293,Colgate Toothpaste,Beauty,Oral Care,1456.18,93,135424.74,64551.02,70873.72,6/26/2024,Online,1068
SKU43705,HP Laptop,Electronics,Computers,1131.38,40,45255.2,28525.7,16729.5,10/4/2024,Mobile App,1069
SKU20258,Levi's Jeans,Apparel,Casualwear,1314.59,32,42066.88,34717.42,7349.46,10/25/2024,Retail Store,1070
SKU54096,Apple iPhone 14,Electronics,Smartphones,821.52,89,73115.28,58176.53,14938.75,3/29/2025,Mobile App,1071
SKU34124,Adidas Hoodie,Apparel,Sportswear,846.26,35,29619.1,13039.62,16579.48,2/4/2025,Marketplace,1072
SKU78508,Samsung Smart TV,Electronics,Television,1010.94,16,16175.04,13338.71,2836.33,8/24/2024,Online,1073
SKU59802,Samsung Smart TV,Electronics,Television,492.52,52,25611.04,13445.76,12165.28,3/17/2025,Marketplace,1074
SKU19963,Adidas Hoodie,Apparel,Sportswear,226.43,70,15850.1,13896.66,1953.44,7/14/2024,Online,1075
SKU12711,Maybelline Lipstick,Beauty,Makeup,9.52,63,599.76,393.26,206.5,2/12/2025,Retail Store,1076
SKU98006,HP Laptop,Electronics,Computers,94.11,13,1223.43,721.74,501.69,2/16/2025,Marketplace,1077
SKU93819,Apple iPhone 14,Electronics,Smartphones,35.37,13,459.81,300.79,159.02,3/26/2025,Marketplace,1078
SKU59461,Apple iPhone 14,Electronics,Smartphones,200.35,6,1202.1,859.89,342.21,8/11/2024,Online,1079
SKU58671,Maybelline Lipstick,Beauty,Makeup,140.09,58,8125.22,4503.29,3621.93,10/8/2024,Online,1080
SKU10167,Maybelline Lipstick,Beauty,Makeup,1156.21,16,18499.36,9605.77,8893.59,10/24/2024,Marketplace,1081
SKU92755,Nike Running Shoes,Apparel,Sportswear,196.42,72,14142.24,11079.8,3062.44,8/7/2024,Mobile App,1082
SKU84673,Nike Running Shoes,Apparel,Sportswear,426.49,32,13647.68,10122.11,3525.57,12/21/2024,Mobile App,1083
SKU88207,Colgate Toothpaste,Beauty,Oral Care,1071.54,77,82508.58,61140.26,21368.32,4/17/2025,Retail Store,1084
SKU15735,Dove Body Wash,Beauty,Bath & Body,275.94,75,20695.5,17649.01,3046.49,10/3/2024,Online,1085
SKU70702,Nike Running Shoes,Apparel,Sportswear,250.53,65,16284.45,12108.46,4175.99,10/24/2024,Online,1086
SKU16788,Nike Running Shoes,Apparel,Sportswear,1223.36,81,99092.16,66251.54,32840.62,1/14/2025,Mobile App,1087
SKU12573,HP Laptop,Electronics,Computers,719.25,53,38120.25,23647.94,14472.31,11/16/2024,Online,1088
SKU35714,Levi's Jeans,Apparel,Casualwear,558.54,22,12287.88,8034,4253.88,1/31/2025,Mobile App,1089
SKU74818,HP Laptop,Electronics,Computers,318.44,54,17195.76,10666.28,6529.48,1/17/2025,Online,1090
SKU70328,Apple iPhone 14,Electronics,Smartphones,261.27,22,5747.94,4428.52,1319.42,7/20/2024,Online,1091
SKU96694,Nike Running Shoes,Apparel,Sportswear,518.93,31,16086.83,12709.45,3377.38,8/26/2024,Marketplace,1092
SKU27429,Apple iPhone 14,Electronics,Smartphones,596.99,54,32237.46,23508.25,8729.21,3/12/2025,Mobile App,1093
SKU54060,Nike Running Shoes,Apparel,Sportswear,618.47,79,48859.13,26460.58,22398.55,11/17/2024,Retail Store,1094
SKU97332,Adidas Hoodie,Apparel,Sportswear,390.31,72,28102.32,20479.09,7623.23,9/25/2024,Marketplace,1095
SKU62976,HP Laptop,Electronics,Computers,1210.3,30,36309,23411.58,12897.42,10/31/2024,Retail Store,1096
SKU29956,Adidas Hoodie,Apparel,Sportswear,661.42,42,27779.64,15290.63,12489.01,5/10/2024,Marketplace,1097
SKU15096,Colgate Toothpaste,Beauty,Oral Care,291.28,9,2621.52,2024.17,597.35,2/21/2025,Marketplace,1098
SKU57811,Samsung Smart TV,Electronics,Television,1056.76,89,94051.64,70347.78,23703.86,5/1/2024,Retail Store,1099
SKU14704,Levi's Jeans,Apparel,Casualwear,147.23,79,11631.17,5492.14,6139.03,4/22/2025,Marketplace,1100
SKU63602,Samsung Smart TV,Electronics,Television,42.76,95,4062.2,2681.95,1380.25,12/3/2024,Mobile App,1101
SKU15547,Nike Running Shoes,Apparel,Sportswear,1364.46,49,66858.54,33988.71,32869.83,10/8/2024,Mobile App,1102
SKU80139,Nike Running Shoes,Apparel,Sportswear,441.11,57,25143.27,19619.88,5523.39,6/11/2024,Mobile App,1103
SKU42965,Samsung Smart TV,Electronics,Television,1083.53,57,61761.21,32045.64,29715.57,12/21/2024,Retail Store,1104
SKU29482,Samsung Smart TV,Electronics,Television,1007.97,5,5039.85,3630.78,1409.07,3/6/2025,Mobile App,1105
SKU59428,Dove Body Wash,Beauty,Bath & Body,745.26,46,34281.96,25161.22,9120.74,12/31/2024,Marketplace,1106
SKU39391,Adidas Hoodie,Apparel,Sportswear,222.42,7,1556.94,803.03,753.91,1/18/2025,Mobile App,1107
SKU37414,Dove Body Wash,Beauty,Bath & Body,295.43,69,20384.67,10634.04,9750.63,4/25/2025,Marketplace,1108
SKU83078,Panasonic Microwave,Electronics,Appliances,797.28,91,72552.48,42416.61,30135.87,2/27/2025,Retail Store,1109
SKU45767,Dove Body Wash,Beauty,Bath & Body,1069.18,40,42767.2,21391.7,21375.5,12/19/2024,Marketplace,1110
SKU16734,Adidas Hoodie,Apparel,Sportswear,1313.07,67,87975.69,75707.36,12268.33,3/20/2025,Retail Store,1111
SKU50709,Samsung Smart TV,Electronics,Television,1269.94,90,114294.6,60435.01,53859.59,6/12/2024,Retail Store,1112
SKU59441,Nike Running Shoes,Apparel,Sportswear,613.57,91,55834.87,43880.53,11954.34,2/26/2025,Marketplace,1113
SKU85546,Adidas Hoodie,Apparel,Sportswear,1172.17,8,9377.36,5803.37,3573.99,7/7/2024,Online,1114
SKU87344,Panasonic Microwave,Electronics,Appliances,1313.4,9,11820.6,6013.91,5806.69,12/13/2024,Marketplace,1115
SKU22627,Samsung Smart TV,Electronics,Television,1162.67,89,103477.63,48325.2,55152.43,3/25/2025,Retail Store,1116
SKU49174,HP Laptop,Electronics,Computers,55.15,95,5239.25,4326.63,912.62,8/8/2024,Marketplace,1117
SKU39333,HP Laptop,Electronics,Computers,195.5,84,16422,10224.25,6197.75,7/24/2024,Retail Store,1118
SKU70968,Adidas Hoodie,Apparel,Sportswear,954.13,68,64880.84,46435.98,18444.86,6/27/2024,Marketplace,1119
SKU25834,Panasonic Microwave,Electronics,Appliances,614.64,69,42410.16,18933.61,23476.55,10/31/2024,Retail Store,1120
SKU75157,Colgate Toothpaste,Beauty,Oral Care,390.25,93,36293.25,18586.7,17706.55,5/13/2024,Marketplace,1121
SKU74691,Levi's Jeans,Apparel,Casualwear,590.79,57,33675.03,26965.92,6709.11,11/3/2024,Marketplace,1122
SKU21599,Dove Body Wash,Beauty,Bath & Body,625.77,24,15018.48,6709.25,8309.23,1/22/2025,Marketplace,1123
SKU82245,Adidas Hoodie,Apparel,Sportswear,944.18,26,24548.68,19523.82,5024.86,9/25/2024,Mobile App,1124
SKU15772,Maybelline Lipstick,Beauty,Makeup,979.81,62,60748.22,50364.11,10384.11,1/21/2025,Retail Store,1125
SKU15052,Adidas Hoodie,Apparel,Sportswear,669.65,5,3348.25,1570.18,1778.07,7/13/2024,Marketplace,1126
SKU22366,Panasonic Microwave,Electronics,Appliances,1366.05,80,109284,52698.11,56585.89,3/15/2025,Mobile App,1127
SKU32019,Apple iPhone 14,Electronics,Smartphones,25.58,22,562.76,419.12,143.64,10/15/2024,Marketplace,1128
SKU51029,Nike Running Shoes,Apparel,Sportswear,81.65,100,8165,5410.6,2754.4,6/3/2024,Marketplace,1129
SKU43786,Dove Body Wash,Beauty,Bath & Body,10.34,6,62.04,33.77,28.27,12/29/2024,Mobile App,1130
SKU18752,Panasonic Microwave,Electronics,Appliances,1196.92,41,49073.72,43624.36,5449.36,4/14/2025,Retail Store,1131
SKU67125,Panasonic Microwave,Electronics,Appliances,536.75,27,14492.25,10861.24,3631.01,8/24/2024,Mobile App,1132
SKU62653,HP Laptop,Electronics,Computers,747.77,68,50848.36,25685.6,25162.76,2/6/2025,Online,1133
SKU48798,Panasonic Microwave,Electronics,Appliances,674.78,53,35763.34,14383.98,21379.36,2/22/2025,Online,1134
SKU33726,Apple iPhone 14,Electronics,Smartphones,703.09,90,63278.1,39791.79,23486.31,1/8/2025,Marketplace,1135
SKU45670,Nike Running Shoes,Apparel,Sportswear,800.89,72,57664.08,46462.9,11201.18,4/5/2025,Retail Store,1136
SKU43229,HP Laptop,Electronics,Computers,1090.25,20,21805,11692.57,10112.43,12/10/2024,Marketplace,1137
SKU15929,Adidas Hoodie,Apparel,Sportswear,874.37,88,76944.56,40976.66,35967.9,5/10/2024,Online,1138
SKU84965,Panasonic Microwave,Electronics,Appliances,387.48,34,13174.32,8201.63,4972.69,12/16/2024,Marketplace,1139
SKU87164,HP Laptop,Electronics,Computers,464.8,80,37184,16634.52,20549.48,10/29/2024,Online,1140
SKU84931,HP Laptop,Electronics,Computers,1380.84,93,128418.12,99903.9,28514.22,8/7/2024,Retail Store,1141
SKU37741,Apple iPhone 14,Electronics,Smartphones,936.78,69,64637.82,45347.98,19289.84,1/23/2025,Retail Store,1142
SKU71590,Dove Body Wash,Beauty,Bath & Body,368.93,73,26931.89,24216.55,2715.34,9/1/2024,Mobile App,1143
SKU81727,Samsung Smart TV,Electronics,Television,10.06,89,895.34,387.25,508.09,1/2/2025,Mobile App,1144
SKU41701,Adidas Hoodie,Apparel,Sportswear,704.98,23,16214.54,7033.87,9180.67,12/15/2024,Retail Store,1145
SKU37387,Panasonic Microwave,Electronics,Appliances,931.39,15,13970.85,6039.47,7931.38,7/29/2024,Online,1146
SKU44825,Dove Body Wash,Beauty,Bath & Body,81.85,93,7612.05,3429.9,4182.15,10/12/2024,Online,1147
SKU32257,Colgate Toothpaste,Beauty,Oral Care,759.4,92,69864.8,29212.2,40652.6,9/18/2024,Retail Store,1148
SKU24916,Adidas Hoodie,Apparel,Sportswear,518.77,84,43576.68,18320.04,25256.64,2/14/2025,Marketplace,1149
SKU20499,Panasonic Microwave,Electronics,Appliances,806,97,78182,62263.7,15918.3,9/16/2024,Online,1150
SKU19708,Maybelline Lipstick,Beauty,Makeup,39.14,28,1095.92,721.33,374.59,3/21/2025,Online,1151
SKU56747,Samsung Smart TV,Electronics,Television,879.35,98,86176.3,71297.66,14878.64,4/6/2025,Online,1152
SKU84681,Dove Body Wash,Beauty,Bath & Body,921.34,91,83841.94,48123.92,35718.02,11/4/2024,Mobile App,1153
SKU77999,Adidas Hoodie,Apparel,Sportswear,1417.37,55,77955.35,31980.32,45975.03,5/28/2024,Retail Store,1154
SKU39133,Dove Body Wash,Beauty,Bath & Body,1165.86,58,67619.88,35289.49,32330.39,2/18/2025,Online,1155
SKU25820,Panasonic Microwave,Electronics,Appliances,1134.14,33,37426.62,16482,20944.62,4/19/2025,Online,1156
SKU28991,Levi's Jeans,Apparel,Casualwear,1289.6,28,36108.8,20818.81,15289.99,3/21/2025,Retail Store,1157
SKU82261,Dove Body Wash,Beauty,Bath & Body,56.7,21,1190.7,731.24,459.46,5/25/2024,Mobile App,1158
SKU26793,HP Laptop,Electronics,Computers,433.34,29,12566.86,5787.65,6779.21,12/30/2024,Mobile App,1159
SKU13744,Colgate Toothpaste,Beauty,Oral Care,1043.13,25,26078.25,13239.13,12839.12,12/31/2024,Mobile App,1160
SKU81776,HP Laptop,Electronics,Computers,110.6,18,1990.8,802.48,1188.32,3/20/2025,Mobile App,1161
SKU15147,Levi's Jeans,Apparel,Casualwear,391.94,36,14109.84,9136.89,4972.95,12/10/2024,Retail Store,1162
SKU26882,Levi's Jeans,Apparel,Casualwear,373.05,4,1492.2,735.19,757.01,7/7/2024,Online,1163
SKU86241,Colgate Toothpaste,Beauty,Oral Care,579.07,77,44588.39,40073.25,4515.14,1/10/2025,Marketplace,1164
SKU46932,Adidas Hoodie,Apparel,Sportswear,102.61,21,2154.81,1861.18,293.63,7/15/2024,Online,1165
SKU40316,Samsung Smart TV,Electronics,Television,749.29,41,30720.89,16945.18,13775.71,2/2/2025,Mobile App,1166
SKU45939,Panasonic Microwave,Electronics,Appliances,324.22,51,16535.22,8033.37,8501.85,11/24/2024,Retail Store,1167
SKU16309,Dove Body Wash,Beauty,Bath & Body,1174.09,71,83360.39,60414.94,22945.45,3/27/2025,Mobile App,1168
SKU15832,Levi's Jeans,Apparel,Casualwear,695.53,6,4173.18,3239.86,933.32,9/23/2024,Retail Store,1169
SKU77089,HP Laptop,Electronics,Computers,1052.16,61,64181.76,42367.59,21814.17,6/11/2024,Marketplace,1170
SKU62533,Nike Running Shoes,Apparel,Sportswear,439.7,68,29899.6,15441.65,14457.95,2/20/2025,Retail Store,1171
SKU41102,Apple iPhone 14,Electronics,Smartphones,1199.44,61,73165.84,33733.46,39432.38,6/21/2024,Mobile App,1172
SKU35426,Panasonic Microwave,Electronics,Appliances,252.16,1,252.16,203.94,48.22,10/8/2024,Marketplace,1173
SKU69772,Samsung Smart TV,Electronics,Television,1176.07,77,90557.39,49083.06,41474.33,10/19/2024,Online,1174
SKU91340,Nike Running Shoes,Apparel,Sportswear,621.88,44,27362.72,14851.91,12510.81,10/31/2024,Marketplace,1175
SKU50628,Dove Body Wash,Beauty,Bath & Body,239.11,61,14585.71,6078.81,8506.9,5/1/2024,Marketplace,1176
SKU30752,Panasonic Microwave,Electronics,Appliances,411.23,12,4934.76,3253.99,1680.77,5/19/2024,Marketplace,1177
SKU96518,Colgate Toothpaste,Beauty,Oral Care,1056.39,72,76060.08,65832.1,10227.98,9/6/2024,Online,1178
SKU36069,Samsung Smart TV,Electronics,Television,1170.35,47,55006.45,26409.15,28597.3,8/20/2024,Online,1179
SKU88852,Panasonic Microwave,Electronics,Appliances,1261.15,82,103414.3,65596.94,37817.36,4/17/2025,Online,1180
SKU84053,Maybelline Lipstick,Beauty,Makeup,396.75,94,37294.5,28103.4,9191.1,4/19/2025,Retail Store,1181
SKU38828,Adidas Hoodie,Apparel,Sportswear,602.57,54,32538.78,13310.11,19228.67,7/5/2024,Marketplace,1182
SKU43146,Adidas Hoodie,Apparel,Sportswear,1008.77,68,68596.36,42462.63,26133.73,1/16/2025,Marketplace,1183
SKU10506,Adidas Hoodie,Apparel,Sportswear,202.04,96,19395.84,8867.61,10528.23,10/26/2024,Online,1184
SKU19563,Levi's Jeans,Apparel,Casualwear,1396.18,18,25131.24,14105.3,11025.94,10/18/2024,Mobile App,1185
SKU40963,Colgate Toothpaste,Beauty,Oral Care,1359.96,77,104716.92,61033.81,43683.11,11/5/2024,Retail Store,1186
SKU95807,HP Laptop,Electronics,Computers,1039.06,91,94554.46,56881.32,37673.14,4/9/2025,Retail Store,1187
SKU26461,Maybelline Lipstick,Beauty,Makeup,1150.54,32,36817.28,18706.4,18110.88,10/8/2024,Mobile App,1188
SKU44471,Nike Running Shoes,Apparel,Sportswear,855.68,41,35082.88,21152.61,13930.27,3/4/2025,Online,1189
SKU60957,Maybelline Lipstick,Beauty,Makeup,568.72,29,16492.88,7550.82,8942.06,4/30/2025,Retail Store,1190
SKU67795,Maybelline Lipstick,Beauty,Makeup,665.97,78,51945.66,29206.42,22739.24,7/27/2024,Online,1191
SKU57416,Nike Running Shoes,Apparel,Sportswear,9.03,88,794.64,686.28,108.36,12/2/2024,Online,1192
SKU70533,Samsung Smart TV,Electronics,Television,801.32,47,37662.04,29286.4,8375.64,5/14/2024,Online,1193
SKU63082,Apple iPhone 14,Electronics,Smartphones,302.75,8,2422,1225.01,1196.99,5/24/2024,Marketplace,1194
SKU35380,Maybelline Lipstick,Beauty,Makeup,143.92,65,9354.8,5688.22,3666.58,10/31/2024,Online,1195
SKU52481,Nike Running Shoes,Apparel,Sportswear,1423.48,6,8540.88,7231.16,1309.72,8/20/2024,Online,1196
SKU77765,Dove Body Wash,Beauty,Bath & Body,1159.58,16,18553.28,14778.33,3774.95,2/13/2025,Mobile App,1197
SKU46515,Apple iPhone 14,Electronics,Smartphones,935.13,82,76680.66,56754.08,19926.58,6/13/2024,Marketplace,1198
SKU43345,Nike Running Shoes,Apparel,Sportswear,310.07,35,10852.45,5360.33,5492.12,11/26/2024,Online,1199
SKU32225,Samsung Smart TV,Electronics,Television,1251.77,19,23783.63,19512.6,4271.03,1/19/2025,Mobile App,1200
SKU43843,Panasonic Microwave,Electronics,Appliances,252.21,72,18159.12,13917.16,4241.96,8/24/2024,Mobile App,1201
SKU99921,Maybelline Lipstick,Beauty,Makeup,174.31,89,15513.59,12580.61,2932.98,11/10/2024,Retail Store,1202
SKU85054,Dove Body Wash,Beauty,Bath & Body,565.29,37,20915.73,16781.31,4134.42,12/10/2024,Retail Store,1203
SKU43084,Apple iPhone 14,Electronics,Smartphones,119.44,95,11346.8,9619.16,1727.64,11/21/2024,Retail Store,1204
SKU21826,Adidas Hoodie,Apparel,Sportswear,353.48,75,26511,18134.47,8376.53,4/13/2025,Retail Store,1205
SKU21022,Nike Running Shoes,Apparel,Sportswear,1137.41,88,100092.08,87555.84,12536.24,4/8/2025,Online,1206
SKU93873,Samsung Smart TV,Electronics,Television,411.74,71,29233.54,12656.08,16577.46,11/20/2024,Retail Store,1207
SKU31607,HP Laptop,Electronics,Computers,1239.15,41,50805.15,44610.8,6194.35,7/1/2024,Online,1208
SKU73096,Samsung Smart TV,Electronics,Television,250.83,1,250.83,187.31,63.52,7/12/2024,Retail Store,1209
SKU97930,Maybelline Lipstick,Beauty,Makeup,1173.73,42,49296.66,35373.06,13923.6,8/22/2024,Mobile App,1210
SKU52152,Dove Body Wash,Beauty,Bath & Body,1058.71,59,62463.89,38098.43,24365.46,9/25/2024,Mobile App,1211
SKU79175,Adidas Hoodie,Apparel,Sportswear,1260.25,54,68053.5,44894.68,23158.82,6/1/2024,Marketplace,1212
SKU31593,Adidas Hoodie,Apparel,Sportswear,684.83,89,60949.87,38853.15,22096.72,7/26/2024,Mobile App,1213
SKU88754,Samsung Smart TV,Electronics,Television,429.57,33,14175.81,11801.9,2373.91,5/6/2024,Mobile App,1214
SKU75782,Apple iPhone 14,Electronics,Smartphones,1102.47,25,27561.75,11360.09,16201.66,8/13/2024,Mobile App,1215
SKU83261,Levi's Jeans,Apparel,Casualwear,1057.86,94,99438.84,45767.89,53670.95,3/8/2025,Retail Store,1216
SKU80773,Colgate Toothpaste,Beauty,Oral Care,960.31,68,65301.08,44630.73,20670.35,3/6/2025,Online,1217
SKU65962,Levi's Jeans,Apparel,Casualwear,614.17,87,53432.79,43353.4,10079.39,2/24/2025,Online,1218
SKU98603,Levi's Jeans,Apparel,Casualwear,1012.65,56,56708.4,47359.4,9349,9/18/2024,Retail Store,1219
SKU84678,Panasonic Microwave,Electronics,Appliances,1302.01,17,22134.17,17904.7,4229.47,10/18/2024,Retail Store,1220
SKU68143,HP Laptop,Electronics,Computers,571.5,58,33147,29299.99,3847.01,4/27/2025,Online,1221
SKU42017,Dove Body Wash,Beauty,Bath & Body,257.88,52,13409.76,7744.45,5665.31,10/18/2024,Online,1222
